iconCategory;magnitudeOfDelay;startTime;endTime;length;delay;roadNumbers;events;coordinates;date;time;site
6;3;2021-05-10T21:50:00Z;2021-05-10T22:26:30Z;318.396;307;['N103'];Stationary traffic;[[-8.401070281, 41.555060618], [-8.4022330186, 41.554569806], [-8.4027278862, 41.5543632561], [-8.4032991967, 41.554125908], [-8.403944268, 41.553860333], [-8.404406949, 41.5536591752]];10/05/2021;23:06:44;Braga
6;3;2021-05-10T21:50:00Z;2021-05-10T22:31:30Z;318.396;271;['N103'];Stationary traffic;[[-8.401070281, 41.555060618], [-8.4022330186, 41.554569806], [-8.4027278862, 41.5543632561], [-8.4032991967, 41.554125908], [-8.403944268, 41.553860333], [-8.404406949, 41.5536591752]];10/05/2021;23:11:45;Braga
6;3;2021-05-11T01:05:30Z;2021-05-11T01:38:30Z;530.523;87;['E01', 'IC23', 'IP1', 'A20'];Stationary traffic;[[-8.5827309332, 41.1657983439], [-8.5828060351, 41.1658747575], [-8.5829361222, 41.1659901034], [-8.5830648683, 41.1660866455], [-8.5832740806, 41.1662274831], [-8.5834698818, 41.1663334267], [-8.5837099395, 41.1664420832], [-8.5838775776, 41.1665077693], [-8.5840438745, 41.1665574281], [-8.5843670807, 41.1666271524], [-8.5845186255, 41.166648606], [-8.5846165262, 41.1666606579], [-8.5847519777, 41.1666740979], [-8.5848163507, 41.1666767481], [-8.5852709852, 41.1667089284], [-8.5857283018, 41.1667384587], [-8.5859039865, 41.1667612373], [-8.5861534319, 41.1668081827], [-8.5863545976, 41.1668604915], [-8.5865088246, 41.166910087], [-8.586705967, 41.1669838492], [-8.5868575118, 41.1670509228], [-8.5869567535, 41.1671059446], [-8.5872276566, 41.1672561186], [-8.587424799, 41.1673607354], [-8.5876004837, 41.1674519121], [-8.5878016494, 41.167564542], [-8.5879089377, 41.1676208884], [-8.5879652641, 41.16764638], [-8.5880323193, 41.1676839232], [-8.5882656715, 41.1678207191]];11/05/2021;02:07:09;Porto
6;1;2021-05-11T05:56:00Z;2021-05-11T06:46:30Z;1202.424;33;['E01', 'IC23', 'IP1', 'A20'];Slow traffic;[[-8.581278517, 41.1615711631], [-8.581214144, 41.161749557], [-8.5811900041, 41.1618286888], [-8.58113636, 41.1619990048], [-8.5811095379, 41.1621089306], [-8.5810894213, 41.1622296469], [-8.5810746692, 41.1623087781], [-8.5810693047, 41.1624013501], [-8.5810733281, 41.1624750543], [-8.5810786925, 41.1625850424], [-8.5810840569, 41.1627017193], [-8.5810947857, 41.1628224345], [-8.581098809, 41.162901565], [-8.5811068557, 41.1629793071], [-8.5811175845, 41.1630678396], [-8.5811524532, 41.1631885542], [-8.5812087796, 41.1633092685], [-8.5812557183, 41.1633843598], [-8.58135496, 41.163539906], [-8.5814327441, 41.1637209448], [-8.5815038226, 41.1638309309], [-8.5818390987, 41.1644183404], [-8.5818605564, 41.1644545603], [-8.5818954251, 41.1645135597], [-8.5819879613, 41.1646838687], [-8.5820174656, 41.1647361792], [-8.5820349, 41.1647683605], [-8.5821690104, 41.1650044195], [-8.5822937332, 41.1651894927], [-8.5824157737, 41.1654107848], [-8.582458689, 41.1654697833], [-8.5825418375, 41.1655783782], [-8.5826477847, 41.1657071649], [-8.582677289, 41.1657433841], [-8.5827309332, 41.1657983439], [-8.5828060351, 41.1658747575], [-8.5829361222, 41.1659901034], [-8.5830648683, 41.1660866455], [-8.5832740806, 41.1662274831], [-8.5834698818, 41.1663334267], [-8.5837099395, 41.1664420832], [-8.5838775776, 41.1665077693], [-8.5840438745, 41.1665574281], [-8.5843670807, 41.1666271524], [-8.5845186255, 41.166648606], [-8.5846165262, 41.1666606579], [-8.5847519777, 41.1666740979], [-8.5848163507, 41.1666767481], [-8.5852709852, 41.1667089284], [-8.5857283018, 41.1667384587], [-8.5859039865, 41.1667612373], [-8.5861534319, 41.1668081827], [-8.5863545976, 41.1668604915], [-8.5865088246, 41.166910087], [-8.586705967, 41.1669838492], [-8.5868575118, 41.1670509228], [-8.5869567535, 41.1671059446], [-8.5872276566, 41.1672561186], [-8.587424799, 41.1673607354], [-8.5876004837, 41.1674519121], [-8.5878016494, 41.167564542], [-8.5879089377, 41.1676208884], [-8.5879652641, 41.16764638], [-8.5880323193, 41.1676839232], [-8.5882656715, 41.1678207191], [-8.5890180312, 41.1682418317], [-8.5891856692, 41.1683424087], [-8.5898749969, 41.1687555047]];11/05/2021;07:33:00;Porto
6;1;2021-05-11T05:56:00Z;2021-05-11T07:10:30Z;321.053;140;['E01', 'IC23', 'IP1', 'A20'];Slow traffic;[[-8.5806267403, 41.1524033836], [-8.580790355, 41.1525308076], [-8.5808654569, 41.1525937938], [-8.5809459231, 41.1526622075], [-8.5811457477, 41.152831222], [-8.5812838815, 41.1529572568], [-8.5813898287, 41.1530497789], [-8.5816003821, 41.1532589946], [-8.5818055711, 41.1534748994], [-8.5818914018, 41.1535768244], [-8.5820322178, 41.1537284178], [-8.5821475528, 41.1538705442], [-8.5822454534, 41.1539979654], [-8.5823916338, 41.1542031389], [-8.582445278, 41.1542849305], [-8.5824814878, 41.1543426136], [-8.582599505, 41.1545464608], [-8.5826705835, 41.1546805704], [-8.5827658019, 41.1548991842], [-8.5828409038, 41.1551017043], [-8.5828999124, 41.1552894561], [-8.5829642854, 41.1555295252], [-8.5830072008, 41.1557480731], [-8.5830219529, 41.1558821802], [-8.5830286584, 41.1559760866], [-8.5830367051, 41.1560391326], [-8.5830407284, 41.156083372], [-8.5830501161, 41.1561732391], [-8.5830514572, 41.1562617178], [-8.5830206118, 41.1567445615], [-8.5830139063, 41.1568880698], [-8.5829656265, 41.1571522402], [-8.5829401455, 41.1572581984], [-8.5829280756, 41.157302437], [-8.5828999124, 41.1574164096], [-8.5828516326, 41.1575921012], [-8.5827564142, 41.1578831525], [-8.5827215455, 41.1579797066], [-8.5826652191, 41.1581299015], [-8.5825820706, 41.1583364504], [-8.5824010215, 41.1587923956], [-8.5822937332, 41.1590525827], [-8.5821314595, 41.1594481938], [-8.5819825969, 41.1598089684], [-8.5818109355, 41.1602287442], [-8.5816862128, 41.1605344872], [-8.5815829478, 41.1607852648], [-8.5813898287, 41.1612801281], [-8.581278517, 41.1615711631], [-8.581214144, 41.161749557], [-8.5811900041, 41.1618286888], [-8.58113636, 41.1619990048], [-8.5811095379, 41.1621089306], [-8.5810894213, 41.1622296469], [-8.5810746692, 41.1623087781], [-8.5810693047, 41.1624013501], [-8.5810733281, 41.1624750543], [-8.5810786925, 41.1625850424], [-8.5810840569, 41.1627017193], [-8.5810947857, 41.1628224345], [-8.581098809, 41.162901565], [-8.5811068557, 41.1629793071], [-8.5811175845, 41.1630678396], [-8.5811524532, 41.1631885542], [-8.5812087796, 41.1633092685], [-8.5812557183, 41.1633843598], [-8.58135496, 41.163539906], [-8.5814327441, 41.1637209448], [-8.5815038226, 41.1638309309], [-8.5818390987, 41.1644183404], [-8.5818605564, 41.1644545603], [-8.5818954251, 41.1645135597], [-8.5819879613, 41.1646838687], [-8.5820174656, 41.1647361792], [-8.5820349, 41.1647683605], [-8.5821690104, 41.1650044195], [-8.5822937332, 41.1651894927], [-8.5824157737, 41.1654107848], [-8.582458689, 41.1654697833], [-8.5825418375, 41.1655783782], [-8.5826477847, 41.1657071649], [-8.582677289, 41.1657433841], [-8.5827309332, 41.1657983439], [-8.5828060351, 41.1658747575], [-8.5829361222, 41.1659901034], [-8.5830648683, 41.1660866455], [-8.5832740806, 41.1662274831], [-8.5834698818, 41.1663334267], [-8.5837099395, 41.1664420832], [-8.5838775776, 41.1665077693], [-8.5840438745, 41.1665574281], [-8.5843670807, 41.1666271524], [-8.5845186255, 41.166648606], [-8.5846165262, 41.1666606579], [-8.5847519777, 41.1666740979], [-8.5848163507, 41.1666767481], [-8.5852709852, 41.1667089284], [-8.5857283018, 41.1667384587], [-8.5859039865, 41.1667612373], [-8.5861534319, 41.1668081827], [-8.5863545976, 41.1668604915], [-8.5865088246, 41.166910087], [-8.586705967, 41.1669838492], [-8.5868575118, 41.1670509228], [-8.5869567535, 41.1671059446], [-8.5872276566, 41.1672561186], [-8.587424799, 41.1673607354], [-8.5876004837, 41.1674519121], [-8.5878016494, 41.167564542], [-8.5879089377, 41.1676208884], [-8.5879652641, 41.16764638], [-8.5880323193, 41.1676839232], [-8.5882656715, 41.1678207191], [-8.5890180312, 41.1682418317], [-8.5891856692, 41.1683424087], [-8.5898749969, 41.1687555047], [-8.5901794277, 41.168933816], [-8.5902880571, 41.1689995626], [-8.5903792522, 41.1690545197], [-8.5907011173, 41.169254346], [-8.5908781431, 41.1693696859], [-8.5910833321, 41.169497077], [-8.5912590168, 41.1696084415], [-8.5914333604, 41.1697210677], [-8.5915862463, 41.1698162793], [-8.5917579077, 41.1699289682], [-8.5921226881, 41.1701716968], [-8.5925505004, 41.1704613672], [-8.5926805876, 41.1705445266], [-8.5927851937, 41.1706115335], [-8.5931177876, 41.1708328704], [-8.5934704981, 41.1710648695], [-8.5936797104, 41.1711989453], [-8.5937320135, 41.1712325115], [-8.5938352786, 41.1712968678], [-8.5939600013, 41.1713759881], [-8.5941034995, 41.1714578213], [-8.5942322455, 41.1715275403], [-8.594367697, 41.1715972593], [-8.5945071719, 41.1716643282], [-8.5945702038, 41.1716924681], [-8.594649329, 41.1717219961], [-8.594764664, 41.171759537], [-8.594829037, 41.1717796639], [-8.594918891, 41.1718064788], [-8.5949913106, 41.1718238927], [-8.5950918935, 41.1718467327], [-8.5951535843, 41.1718574586], [-8.5953346334, 41.1718855984], [-8.5954405806, 41.1718922864], [-8.5956336997, 41.1719030754], [-8.5958241365, 41.1719057254], [-8.5959488593, 41.1719003624], [-8.5963055931, 41.1718761975], [-8.5964745722, 41.1718574586], [-8.5966314815, 41.1718360067], [-8.5967803441, 41.1718118418], [-8.5969452999, 41.1717823769], [-8.597112938, 41.171752849], [-8.5972980104, 41.1717206711], [-8.5974388264, 41.1716951812], [-8.5976453565, 41.1716576402], [-8.5977486215, 41.1716428762], [-8.5979202829, 41.1716093733], [-8.5984151504, 41.1715101263], [-8.5991527579, 41.1713679751], [-8.5992037199, 41.171359899]];11/05/2021;07:38:01;Porto
6;1;2021-05-11T06:29:30Z;2021-05-11T07:02:30Z;865.98;56;['N101'];Slow traffic;[[-8.4223388574, 41.5689423739], [-8.422320082, 41.5689223068], [-8.4222101114, 41.568809617], [-8.4220545433, 41.5686098227], [-8.4219325027, 41.5684153581], [-8.421729996, 41.5679915599], [-8.4215476058, 41.5676240737], [-8.4213504634, 41.5672445447], [-8.4211774609, 41.5669709965], [-8.42090924, 41.5666075179], [-8.4204559467, 41.5662038387], [-8.4200683675, 41.5658243014], [-8.4197397969, 41.565482327], [-8.4195989809, 41.5653442324], [-8.4195439956, 41.565286536], [-8.4193683109, 41.5650760068], [-8.4193133256, 41.5650115998], [-8.4192489526, 41.5649271245], [-8.4192221305, 41.5648788348], [-8.4191108189, 41.5647112006], [-8.4189981661, 41.5645113936], [-8.4189498863, 41.5644175104], [-8.4189244053, 41.5643665237], [-8.4188868544, 41.5642793507], [-8.4188291869, 41.56409566], [-8.4187889538, 41.5639669069], [-8.4187178752, 41.5637026893], [-8.4187044642, 41.5636088049], [-8.4186950765, 41.563415705], [-8.4186816654, 41.5630791115], [-8.4186736188, 41.5629127896], [-8.4186709366, 41.5628564709], [-8.4186709366, 41.5628390359], [-8.4186722777, 41.5627987724], [-8.418676301, 41.5627142941], [-8.4186789832, 41.5626419199], [-8.4187138519, 41.5624232916], [-8.4187648139, 41.5620745886], [-8.4187728605, 41.561976688], [-8.4187782249, 41.5619109609], [-8.4187809072, 41.5618828011]];11/05/2021;07:43:02;Braga
6;1;2021-05-11T05:25:00Z;2021-05-11T08:09:30Z;3231.608;238;['E01', 'IC23', 'IP1', 'A20'];Slow traffic;[[-8.5804523967, 41.1522666186], [-8.5806267403, 41.1524033836], [-8.580790355, 41.1525308076], [-8.5808654569, 41.1525937938], [-8.5809459231, 41.1526622075], [-8.5811457477, 41.152831222], [-8.5812838815, 41.1529572568], [-8.5813898287, 41.1530497789], [-8.5816003821, 41.1532589946], [-8.5818055711, 41.1534748994], [-8.5818914018, 41.1535768244], [-8.5820322178, 41.1537284178], [-8.5821475528, 41.1538705442], [-8.5822454534, 41.1539979654], [-8.5823916338, 41.1542031389], [-8.582445278, 41.1542849305], [-8.5824814878, 41.1543426136], [-8.582599505, 41.1545464608], [-8.5826705835, 41.1546805704], [-8.5827658019, 41.1548991842], [-8.5828409038, 41.1551017043], [-8.5828999124, 41.1552894561], [-8.5829642854, 41.1555295252], [-8.5830072008, 41.1557480731], [-8.5830219529, 41.1558821802], [-8.5830286584, 41.1559760866], [-8.5830367051, 41.1560391326], [-8.5830407284, 41.156083372], [-8.5830501161, 41.1561732391], [-8.5830514572, 41.1562617178], [-8.5830206118, 41.1567445615], [-8.5830139063, 41.1568880698], [-8.5829656265, 41.1571522402], [-8.5829401455, 41.1572581984], [-8.5829280756, 41.157302437], [-8.5828999124, 41.1574164096], [-8.5828516326, 41.1575921012], [-8.5827564142, 41.1578831525], [-8.5827215455, 41.1579797066], [-8.5826652191, 41.1581299015], [-8.5825820706, 41.1583364504], [-8.5824010215, 41.1587923956], [-8.5822937332, 41.1590525827], [-8.5821314595, 41.1594481938], [-8.5819825969, 41.1598089684], [-8.5818109355, 41.1602287442], [-8.5816862128, 41.1605344872], [-8.5815829478, 41.1607852648], [-8.5813898287, 41.1612801281], [-8.581278517, 41.1615711631], [-8.581214144, 41.161749557], [-8.5811900041, 41.1618286888], [-8.58113636, 41.1619990048], [-8.5811095379, 41.1621089306], [-8.5810894213, 41.1622296469], [-8.5810746692, 41.1623087781], [-8.5810693047, 41.1624013501], [-8.5810733281, 41.1624750543], [-8.5810786925, 41.1625850424], [-8.5810840569, 41.1627017193], [-8.5810947857, 41.1628224345], [-8.581098809, 41.162901565], [-8.5811068557, 41.1629793071], [-8.5811175845, 41.1630678396], [-8.5811524532, 41.1631885542], [-8.5812087796, 41.1633092685], [-8.5812557183, 41.1633843598], [-8.58135496, 41.163539906], [-8.5814327441, 41.1637209448], [-8.5815038226, 41.1638309309], [-8.5818390987, 41.1644183404], [-8.5818605564, 41.1644545603], [-8.5818954251, 41.1645135597], [-8.5819879613, 41.1646838687], [-8.5820174656, 41.1647361792], [-8.5820349, 41.1647683605], [-8.5821690104, 41.1650044195], [-8.5822937332, 41.1651894927], [-8.5824157737, 41.1654107848], [-8.582458689, 41.1654697833], [-8.5825418375, 41.1655783782], [-8.5826477847, 41.1657071649], [-8.582677289, 41.1657433841], [-8.5827309332, 41.1657983439], [-8.5828060351, 41.1658747575], [-8.5829361222, 41.1659901034], [-8.5830648683, 41.1660866455], [-8.5832740806, 41.1662274831], [-8.5834698818, 41.1663334267], [-8.5837099395, 41.1664420832], [-8.5838775776, 41.1665077693], [-8.5840438745, 41.1665574281], [-8.5843670807, 41.1666271524], [-8.5845186255, 41.166648606], [-8.5846165262, 41.1666606579], [-8.5847519777, 41.1666740979], [-8.5848163507, 41.1666767481], [-8.5852709852, 41.1667089284], [-8.5857283018, 41.1667384587], [-8.5859039865, 41.1667612373], [-8.5861534319, 41.1668081827], [-8.5863545976, 41.1668604915], [-8.5865088246, 41.166910087], [-8.586705967, 41.1669838492], [-8.5868575118, 41.1670509228], [-8.5869567535, 41.1671059446], [-8.5872276566, 41.1672561186], [-8.587424799, 41.1673607354], [-8.5876004837, 41.1674519121], [-8.5878016494, 41.167564542], [-8.5879089377, 41.1676208884], [-8.5879652641, 41.16764638], [-8.5880323193, 41.1676839232], [-8.5882656715, 41.1678207191], [-8.5890180312, 41.1682418317], [-8.5891856692, 41.1683424087], [-8.5898749969, 41.1687555047], [-8.5901794277, 41.168933816], [-8.5902880571, 41.1689995626], [-8.5903792522, 41.1690545197], [-8.5907011173, 41.169254346], [-8.5908781431, 41.1693696859], [-8.5910833321, 41.169497077], [-8.5912590168, 41.1696084415], [-8.5914333604, 41.1697210677], [-8.5915862463, 41.1698162793], [-8.5917579077, 41.1699289682], [-8.5921226881, 41.1701716968], [-8.5925505004, 41.1704613672], [-8.5926805876, 41.1705445266], [-8.5927851937, 41.1706115335], [-8.5931177876, 41.1708328704], [-8.5934704981, 41.1710648695], [-8.5936797104, 41.1711989453], [-8.5937320135, 41.1712325115], [-8.5938352786, 41.1712968678], [-8.5939600013, 41.1713759881], [-8.5941034995, 41.1714578213], [-8.5942322455, 41.1715275403], [-8.594367697, 41.1715972593], [-8.5945071719, 41.1716643282], [-8.5945702038, 41.1716924681], [-8.594649329, 41.1717219961], [-8.594764664, 41.171759537], [-8.594829037, 41.1717796639], [-8.594918891, 41.1718064788], [-8.5949913106, 41.1718238927], [-8.5950918935, 41.1718467327], [-8.5951535843, 41.1718574586], [-8.5953346334, 41.1718855984], [-8.5954405806, 41.1718922864], [-8.5956336997, 41.1719030754], [-8.5958241365, 41.1719057254], [-8.5959488593, 41.1719003624], [-8.5963055931, 41.1718761975], [-8.5964745722, 41.1718574586], [-8.5966314815, 41.1718360067], [-8.5967803441, 41.1718118418], [-8.5969452999, 41.1717823769], [-8.597112938, 41.171752849], [-8.5972980104, 41.1717206711], [-8.5974388264, 41.1716951812], [-8.5976453565, 41.1716576402], [-8.5977486215, 41.1716428762], [-8.5979202829, 41.1716093733], [-8.5984151504, 41.1715101263], [-8.5991527579, 41.1713679751], [-8.5992037199, 41.171359899]];11/05/2021;07:43:03;Porto
6;2;2021-05-11T06:29:30Z;2021-05-11T07:07:30Z;873.456;120;['N101'];Queuing traffic;[[-8.4223388574, 41.5689423739], [-8.422320082, 41.5689223068], [-8.4222101114, 41.568809617], [-8.4220545433, 41.5686098227], [-8.4219325027, 41.5684153581], [-8.421729996, 41.5679915599], [-8.4215476058, 41.5676240737], [-8.4213504634, 41.5672445447], [-8.4211774609, 41.5669709965], [-8.42090924, 41.5666075179], [-8.4204559467, 41.5662038387], [-8.4200683675, 41.5658243014], [-8.4197397969, 41.565482327], [-8.4195989809, 41.5653442324], [-8.4195439956, 41.565286536], [-8.4193683109, 41.5650760068], [-8.4193133256, 41.5650115998], [-8.4192489526, 41.5649271245], [-8.4192221305, 41.5648788348], [-8.4191108189, 41.5647112006], [-8.4189981661, 41.5645113936], [-8.4189498863, 41.5644175104], [-8.4189244053, 41.5643665237], [-8.4188868544, 41.5642793507], [-8.4188291869, 41.56409566], [-8.4187889538, 41.5639669069], [-8.4187178752, 41.5637026893], [-8.4187044642, 41.5636088049], [-8.4186950765, 41.563415705], [-8.4186816654, 41.5630791115], [-8.4186736188, 41.5629127896], [-8.4186709366, 41.5628564709], [-8.4186709366, 41.5628390359], [-8.4186722777, 41.5627987724], [-8.418676301, 41.5627142941], [-8.4186789832, 41.5626419199], [-8.4187138519, 41.5624232916], [-8.4187648139, 41.5620745886], [-8.4187728605, 41.561976688], [-8.4187782249, 41.5619109609], [-8.4187876127, 41.5618157569]];11/05/2021;07:48:05;Braga
6;1;2021-05-11T05:25:00Z;2021-05-11T08:20:30Z;353.58;273;['E01', 'IC23', 'IP1', 'A20'];Slow traffic;[[-8.578801497, 41.1499076141], [-8.5788082025, 41.1500403447], [-8.5788256369, 41.1501557184], [-8.5788444124, 41.1502495699], [-8.5788873277, 41.1504064726], [-8.5789530418, 41.1505968887], [-8.5790683768, 41.1508383003], [-8.579135432, 41.1509509588], [-8.5791515253, 41.1509777822], [-8.5792614959, 41.1511360717], [-8.5793875597, 41.151295623], [-8.5796557806, 41.1515786238], [-8.5796785794, 41.1516027331], [-8.5798743806, 41.1517824795], [-8.5799280248, 41.1518280472], [-8.580084934, 41.1519715662], [-8.580186858, 41.1520587251], [-8.5803303562, 41.1521686676], [-8.580366566, 41.152196879], [-8.5804510556, 41.1522652301], [-8.5806267403, 41.1524033836], [-8.580790355, 41.1525308076], [-8.5808654569, 41.1525937938], [-8.5809459231, 41.1526622075], [-8.5811457477, 41.152831222], [-8.5812838815, 41.1529572568], [-8.5813898287, 41.1530497789], [-8.5816003821, 41.1532589946], [-8.5818055711, 41.1534748994], [-8.5818914018, 41.1535768244], [-8.5820322178, 41.1537284178], [-8.5821475528, 41.1538705442], [-8.5822454534, 41.1539979654], [-8.5823916338, 41.1542031389], [-8.582445278, 41.1542849305], [-8.5824814878, 41.1543426136], [-8.582599505, 41.1545464608], [-8.5826705835, 41.1546805704], [-8.5827658019, 41.1548991842], [-8.5828409038, 41.1551017043], [-8.5828999124, 41.1552894561], [-8.5829642854, 41.1555295252], [-8.5830072008, 41.1557480731], [-8.5830219529, 41.1558821802], [-8.5830286584, 41.1559760866], [-8.5830367051, 41.1560391326], [-8.5830407284, 41.156083372], [-8.5830501161, 41.1561732391], [-8.5830514572, 41.1562617178], [-8.5830206118, 41.1567445615], [-8.5830139063, 41.1568880698], [-8.5829656265, 41.1571522402], [-8.5829401455, 41.1572581984], [-8.5829280756, 41.157302437], [-8.5828999124, 41.1574164096], [-8.5828516326, 41.1575921012], [-8.5827564142, 41.1578831525], [-8.5827215455, 41.1579797066], [-8.5826652191, 41.1581299015], [-8.5825820706, 41.1583364504], [-8.5824010215, 41.1587923956], [-8.5822937332, 41.1590525827], [-8.5821314595, 41.1594481938], [-8.5819825969, 41.1598089684], [-8.5818109355, 41.1602287442], [-8.5816862128, 41.1605344872], [-8.5815829478, 41.1607852648], [-8.5813898287, 41.1612801281], [-8.581278517, 41.1615711631], [-8.581214144, 41.161749557], [-8.5811900041, 41.1618286888], [-8.58113636, 41.1619990048], [-8.5811095379, 41.1621089306], [-8.5810894213, 41.1622296469], [-8.5810746692, 41.1623087781], [-8.5810693047, 41.1624013501], [-8.5810733281, 41.1624750543], [-8.5810786925, 41.1625850424], [-8.5810840569, 41.1627017193], [-8.5810947857, 41.1628224345], [-8.581098809, 41.162901565], [-8.5811068557, 41.1629793071], [-8.5811175845, 41.1630678396], [-8.5811524532, 41.1631885542], [-8.5812087796, 41.1633092685], [-8.5812557183, 41.1633843598], [-8.58135496, 41.163539906], [-8.5814327441, 41.1637209448], [-8.5815038226, 41.1638309309], [-8.5818390987, 41.1644183404], [-8.5818605564, 41.1644545603], [-8.5818954251, 41.1645135597], [-8.5819879613, 41.1646838687], [-8.5820174656, 41.1647361792], [-8.5820349, 41.1647683605], [-8.5821690104, 41.1650044195], [-8.5822937332, 41.1651894927], [-8.5824157737, 41.1654107848], [-8.582458689, 41.1654697833], [-8.5825418375, 41.1655783782], [-8.5826477847, 41.1657071649], [-8.582677289, 41.1657433841], [-8.5827309332, 41.1657983439], [-8.5828060351, 41.1658747575], [-8.5829361222, 41.1659901034], [-8.5830648683, 41.1660866455], [-8.5832740806, 41.1662274831], [-8.5834698818, 41.1663334267], [-8.5837099395, 41.1664420832], [-8.5838775776, 41.1665077693], [-8.5840438745, 41.1665574281], [-8.5843670807, 41.1666271524], [-8.5845186255, 41.166648606], [-8.5846165262, 41.1666606579], [-8.5847519777, 41.1666740979], [-8.5848163507, 41.1666767481], [-8.5852709852, 41.1667089284], [-8.5857283018, 41.1667384587], [-8.5859039865, 41.1667612373], [-8.5861534319, 41.1668081827], [-8.5863545976, 41.1668604915], [-8.5865088246, 41.166910087], [-8.586705967, 41.1669838492], [-8.5868575118, 41.1670509228], [-8.5869567535, 41.1671059446], [-8.5872276566, 41.1672561186], [-8.587424799, 41.1673607354], [-8.5876004837, 41.1674519121], [-8.5878016494, 41.167564542], [-8.5879089377, 41.1676208884], [-8.5879652641, 41.16764638], [-8.5880323193, 41.1676839232], [-8.5882656715, 41.1678207191], [-8.5890180312, 41.1682418317], [-8.5891856692, 41.1683424087], [-8.5898749969, 41.1687555047], [-8.5901794277, 41.168933816], [-8.5902880571, 41.1689995626], [-8.5903792522, 41.1690545197], [-8.5907011173, 41.169254346], [-8.5908781431, 41.1693696859], [-8.5910833321, 41.169497077], [-8.5912590168, 41.1696084415], [-8.5914333604, 41.1697210677], [-8.5915862463, 41.1698162793], [-8.5917579077, 41.1699289682], [-8.5921226881, 41.1701716968], [-8.5925505004, 41.1704613672], [-8.5926805876, 41.1705445266], [-8.5927851937, 41.1706115335], [-8.5931177876, 41.1708328704], [-8.5934704981, 41.1710648695], [-8.5936797104, 41.1711989453], [-8.5937320135, 41.1712325115], [-8.5938352786, 41.1712968678], [-8.5939600013, 41.1713759881], [-8.5941034995, 41.1714578213], [-8.5942322455, 41.1715275403], [-8.594367697, 41.1715972593], [-8.5945071719, 41.1716643282], [-8.5945702038, 41.1716924681], [-8.594649329, 41.1717219961], [-8.594764664, 41.171759537], [-8.594829037, 41.1717796639], [-8.594918891, 41.1718064788], [-8.5949913106, 41.1718238927], [-8.5950918935, 41.1718467327], [-8.5951535843, 41.1718574586], [-8.5953346334, 41.1718855984], [-8.5954405806, 41.1718922864], [-8.5956336997, 41.1719030754], [-8.5958241365, 41.1719057254], [-8.5959488593, 41.1719003624], [-8.5963055931, 41.1718761975], [-8.5964745722, 41.1718574586], [-8.5966314815, 41.1718360067], [-8.5967803441, 41.1718118418], [-8.5969452999, 41.1717823769], [-8.597112938, 41.171752849], [-8.5972980104, 41.1717206711], [-8.5974388264, 41.1716951812], [-8.5976453565, 41.1716576402], [-8.5977486215, 41.1716428762], [-8.5979202829, 41.1716093733], [-8.5984151504, 41.1715101263], [-8.5991527579, 41.1713679751], [-8.5992037199, 41.171359899]];11/05/2021;07:48:05;Porto
6;2;2021-05-11T06:29:30Z;2021-05-11T07:12:30Z;873.456;110;['N101'];Queuing traffic;[[-8.4223388574, 41.5689423739], [-8.422320082, 41.5689223068], [-8.4222101114, 41.568809617], [-8.4220545433, 41.5686098227], [-8.4219325027, 41.5684153581], [-8.421729996, 41.5679915599], [-8.4215476058, 41.5676240737], [-8.4213504634, 41.5672445447], [-8.4211774609, 41.5669709965], [-8.42090924, 41.5666075179], [-8.4204559467, 41.5662038387], [-8.4200683675, 41.5658243014], [-8.4197397969, 41.565482327], [-8.4195989809, 41.5653442324], [-8.4195439956, 41.565286536], [-8.4193683109, 41.5650760068], [-8.4193133256, 41.5650115998], [-8.4192489526, 41.5649271245], [-8.4192221305, 41.5648788348], [-8.4191108189, 41.5647112006], [-8.4189981661, 41.5645113936], [-8.4189498863, 41.5644175104], [-8.4189244053, 41.5643665237], [-8.4188868544, 41.5642793507], [-8.4188291869, 41.56409566], [-8.4187889538, 41.5639669069], [-8.4187178752, 41.5637026893], [-8.4187044642, 41.5636088049], [-8.4186950765, 41.563415705], [-8.4186816654, 41.5630791115], [-8.4186736188, 41.5629127896], [-8.4186709366, 41.5628564709], [-8.4186709366, 41.5628390359], [-8.4186722777, 41.5627987724], [-8.418676301, 41.5627142941], [-8.4186789832, 41.5626419199], [-8.4187138519, 41.5624232916], [-8.4187648139, 41.5620745886], [-8.4187728605, 41.561976688], [-8.4187782249, 41.5619109609], [-8.4187876127, 41.5618157569]];11/05/2021;07:53:05;Braga
